trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",25,0,-180.82564297685119,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.998001}",20,0,-40.664127354644165,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.997002999}",20,3,-208.37390583835398,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 4}",1
4,False,"{'a': 0.5, 'e': 0.996005996001}",35,0,-176.76846155213119,"{0: 15, 1: 10, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.995009990004999}",20,0,-61.74723625015124,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.994014980014994}",20,0,-156.66649846089064,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.993020965034979}",20,0,-132.26344712809134,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.992027944069944}",20,0,-139.9254836653113,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.991035916125874}",25,6,-84.90293943678031,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.9900448802097482}",25,0,-139.54216843848363,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9890548353295384}",25,0,-124.6853781020674,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9880657804942089}",20,0,-157.59218294610838,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.9870777147137147}",20,0,-82.01729126200063,"{0: 10, 1: 6, 2: 2, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.986090636999001}",20,0,-69.99948051260428,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.985104546362002}",20,0,-31.121757574356028,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9841194418156399}",25,0,-163.82767072489196,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9831353223738244}",25,11,-31.27520767892991,"{0: 9, 1: 3, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.9821521870514505}",20,0,-90.97091001738596,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.981170034864399}",25,0,-123.98622695316774,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9801888648295347}",20,0,-120.84373454464604,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9792086759647052}",20,7,-79.11626158218725,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.9782294672887404}",25,0,-136.26496411514566,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9772512378214517}",30,0,-16.921589759441165,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9762739865836302}",20,0,-82.36439652386522,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9752977125970466}",30,0,-197.23123413518172,"{0: 17, 1: 2, 2: 6, 3: 3, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9743224148844496}",20,5,-29.106893732268265,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.9733480924695651}",20,0,-40.01807911405814,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9723747443770956}",20,0,-155.93521201510362,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9714023696327184}",20,0,-75.17529611925531,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.9704309672630858}",25,0,-308.6051617228241,"{0: 9, 1: 2, 2: 6, 3: 4, 4: 4}",0
31,False,"{'a': 0.5, 'e': 0.9694605362958226}",20,0,-43.42040269115805,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9684910757595269}",20,0,-26.176199904728218,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.9675225846837673}",20,0,-181.1411351524905,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.9665550620990835}",30,0,-153.45100418709876,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.9655885070369844}",25,0,-188.51175553066872,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 4}",0
36,False,"{'a': 0.5, 'e': 0.9646229185299474}",25,0,-74.7057601218309,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.9636582956114175}",25,11,-28.66686797947206,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.9626946373158061}",20,0,-54.057600102928234,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.9617319426784903}",20,0,-94.5921385097999,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.9607702107358118}",30,0,-209.18932418998355,"{0: 14, 1: 4, 2: 9, 3: 0, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.959809440525076}",20,0,-61.038571585659795,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.9588496310845509}",30,0,-137.25599009043654,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9578907814534663}",25,0,-73.48588460176867,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9569328906720128}",25,0,-253.11802513442382,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 6}",0
45,False,"{'a': 0.5, 'e': 0.9559759577813408}",20,10,-12.833770878937818,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.9550199818235595}",25,0,-103.36391017693911,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.954064961841736}",20,0,-74.87219729061779,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9531108968798943}",20,0,-214.03585814557647,"{0: 7, 1: 2, 2: 7, 3: 1, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.9521577859830144}",35,0,-102.46046181403516,"{0: 25, 1: 2, 2: 6, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.9512056281970314}",30,0,-227.35332691755363,"{0: 13, 1: 5, 2: 8, 3: 1, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.9502544225688343}",20,0,-192.28067389428838,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.9493041681462654}",20,0,-100.47754293425812,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.9483548639781192}",20,0,-123.40346067332337,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.947406509114141}",25,0,-116.27103771343829,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.9464591026050269}",25,0,-164.85494590725122,"{0: 13, 1: 0, 2: 10, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.9455126435024219}",20,0,-71.18000719926688,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9445671308589194}",25,0,-57.60182058429393,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.9436225637280605}",30,0,-141.58139189871488,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
59,False,"{'a': 0.5, 'e': 0.9426789411643325}",25,0,-84.52193116206237,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9417362622231682}",20,0,-149.76609093889556,"{0: 10, 1: 2, 2: 3, 3: 4, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9407945259609449}",25,0,-75.92992943176208,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9398537314349841}",20,0,-179.12053432020872,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
63,False,"{'a': 0.5, 'e': 0.9389138777035491}",20,0,-155.00577087113638,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.9379749638258456}",20,0,-137.62232502638332,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.9370369888620197}",35,0,-193.67377021990964,"{0: 21, 1: 2, 2: 9, 3: 0, 4: 3}",0
66,False,"{'a': 0.5, 'e': 0.9360999518731576}",20,0,-98.53680279653001,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.9351638519212845}",20,0,-41.04583105674644,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.9342286880693632}",35,0,-147.6283257214257,"{0: 20, 1: 7, 2: 5, 3: 2, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.9332944593812939}",20,13,-7.8948994919419295,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.9323611649219126}",20,0,-86.84270385974943,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9314288037569907}",30,0,-208.83874857794376,"{0: 16, 1: 7, 2: 3, 3: 0, 4: 4}",0
72,False,"{'a': 0.5, 'e': 0.9304973749532336}",35,0,-139.72380452277034,"{0: 23, 1: 2, 2: 8, 3: 0, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.9295668775782804}",20,0,-173.2559140946881,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
74,False,"{'a': 0.5, 'e': 0.9286373107007021}",20,0,-125.82806278863279,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.9277086733900014}",30,0,-167.43449340891775,"{0: 13, 1: 7, 2: 7, 3: 2, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9267809647166114}",25,0,-107.20358559605606,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.9258541837518948}",20,0,-127.8533306086989,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.9249283295681429}",20,0,-65.4437026517372,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.9240034012385747}",25,0,-86.1839011531571,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.9230793978373362}",25,0,-139.4945614871698,"{0: 17, 1: 4, 2: 0, 3: 1, 4: 3}",0
81,False,"{'a': 0.5, 'e': 0.9221563184394989}",25,0,-104.27236091149258,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9212341621210594}",25,0,-42.945763622813786,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.9203129279589383}",25,0,-122.65062615061476,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.9193926150309794}",25,0,-188.32151567546168,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.9184732224159483}",20,0,-43.98166045094612,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.9175547491935324}",25,0,-266.21539185648345,"{0: 9, 1: 1, 2: 11, 3: 0, 4: 4}",0
87,False,"{'a': 0.5, 'e': 0.9166371944443389}",25,0,-180.76213663327627,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
88,False,"{'a': 0.5, 'e': 0.9157205572498945}",20,0,-39.59453140992677,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.9148048366926447}",25,0,-144.97604440218814,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.913890031855952}",25,0,-148.8877221720652,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
