trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-236.6956318595964,"{0: 20, 1: 5, 2: 5, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.17642270726498,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,15,-6.393138816427414,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,7,-96.44472036805077,"{0: 6, 1: 1, 2: 4, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.70646496003127,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.50342884540516,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-123.46408720640306,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.87139046879216,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,15,2.541601362991963,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,5,-100.26800281893831,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.49837545703592,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.24189680586778,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.96131906556087,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.87838147018522,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.93630651527828,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.91298534823271,"{0: 9, 1: 4, 2: 4, 3: 3, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,14,-16.166849829006562,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,19,-0.947981286777865,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-256.99363410932847,"{0: 9, 1: 1, 2: 10, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.88996669440303,"{0: 9, 1: 3, 2: 5, 3: 3, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-107.4989897586437,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-139.91882176589087,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-151.98298112001362,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-175.65194846166605,"{0: 18, 1: 6, 2: 2, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-210.5566164724761,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,1,-115.48044287690519,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-136.06275284331213,"{0: 15, 1: 7, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-141.85308504626795,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-191.47638604271128,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-83.01906032627855,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
